NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N,HasSafetyRec,ReportType,OriginalPublishDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,DocketUrl,DocketPublishDate,Unnamed: 37
ANC20CA011,ACC,100755,2019-12-31 21:30:00+00:00,Fairbanks,Alaska,United States,,N4667C,False,DirectorBrief,2021-08-31T04:00:00Z,,0,0,0,"The pilot's improper fuel planning, which resulted in a total loss of engine power due to fuel exhaustion, an emergency off-airport landing, and a nose over.",,64.666946,-148.13333,Cessna,170,AIR,,,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100755,8/3/2021 11:00:00 AM,
CEN20FA049,ACC,100748,2019-12-31 17:06:00+00:00,OLATHE,Kansas,United States,,N602TF,False,DirectorBrief,2021-05-05T04:00:00Z,Fatal,2,0,0,"The pilot’s failure to set the elevator trim properly for takeoff, which resulted in an exceedance of the airplane’s critical angle of attack during climb out, an aerodynamic stall, and the subsequent impact with terrain.",,38.846111,-94.736114,Mooney,M20S,AIR,OJC,Johnson County Executive,FALSE,1,,PERS,091,Destroyed,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100748,1/28/2021 5:00:00 AM,
CEN20CA052,ACC,100751,2019-12-31 16:30:00+00:00,Onaga,Kansas,United States,,N3849T,False,DirectorBrief,2020-06-16T04:00:00Z,,0,0,0,"The pilot's improper decision to take off with the airplane at a high gross weight from a short, turf runway, which degraded its climb performance and led to a delayed aborted takeoff, a runway excursion, and impact with terrain.",,39.498054,-96.175003,Piper,PA28R,AIR,52K,Charles E Grutzmacher Muni,FALSE,1,,PERS,091,Substantial,VMC,Express Flight,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100751,2/26/2020 3:19:00 PM,
WPR20CA055,ACC,100757,2019-12-31 15:30:00+00:00,Elk,California,United States,,N7095M,False,DirectorBrief,2020-06-16T04:00:00Z,,0,0,0,"The pilot's failure to arrest the descent rate during an aborted simulated engine-out approach, which resulted in impact with vegetation and a subsequent cartwheel.",,39.128612,-123.715835,Cessna,175,AIR,LLR,Little River,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100757,1/14/2020 8:51:00 PM,
CEN20LA051,ACC,100750,2019-12-31 14:30:00+00:00,Danbury,Texas,United States,,N57SJ,False,DirectorBrief,2021-05-05T04:00:00Z,,0,0,0,The failure of the engine's No.3 intake valve resulting is a loss of engine power and a rollover following the autorotation to soft ground.,,29.243888,-95.333053,Enstrom,F28,HELI,07TA,Salaika Aviation,FALSE,1,,INST,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100750,7/31/2020 4:49:00 PM,
CEN20CA048,ACC,100744,2019-12-30 16:05:00+00:00,GRANBURY,Texas,United States,,N519RV,False,DirectorBrief,2020-06-16T04:00:00Z,,0,0,0,The airplane’s impact with a bird while on approach.,,32.365554,-97.644996,Vans,RV 10,AIR,,,TRUE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100744,2/27/2020 3:42:00 PM,
WPR20LA054,ACC,100754,2019-12-30 15:45:00+00:00,Big Piney,Wyoming,United States,,N43866,False,DirectorBrief,2022-05-03T04:00:00Z,,0,0,0,The failure of the right propeller position to correspond to the throttle change when moved to the beta position for reasons that could not be determined based on available evidence.,,42.582221,-110.108886,Mitsubishi,MU2B,AIR,BPI,Miley Memorial Field,FALSE,2,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100754,4/26/2022 11:00:00 AM,
ERA20WA061,ACC,100747,2019-12-30 15:30:00+00:00,Vereda Cuzama,,Colombia,,HK2629,False,,,Fatal,3,0,0,,,7.104166,-73.190277,PIPER,PA-32-301T,AIR,SKBG,Palonegro Airport,FALSE,1,,,NUSN,Substantial,VMC,Lineas Aereas Galan - Aerogalan,,False,,,
CEN20CA047,ACC,100743,2019-12-29 19:20:00+00:00,Robstown,Texas,United States,,N3473U,False,DirectorBrief,2020-06-16T04:00:00Z,,0,0,0,"The pilot's failure to set the friction lock on the throttle before hand propping the engine, which allowed the airplane to move forward and impact a credit card machine. Contributing to the accident was the malfunction of the parking brake for reasons that could not be determined.",,27.77861,-97.690834,Cessna,182,AIR,RBO,Nueces County Airport,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100743,1/21/2020 12:53:00 PM,
ERA20FA060,ACC,100740,2019-12-29 15:48:00+00:00,College Park,Maryland,United States,,N26455,False,DirectorBrief,2022-08-12T04:00:00Z,Fatal,1,0,0,The pilot's loss of airplane control due to spatial disorientation after entering a climbing turn in instrument meteorological conditions.,,38.971389,-76.893058,American Aviation,AA5,AIR,CGS,College Park,FALSE,1,,PERS,091,Destroyed,IMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100740,7/20/2022 7:00:00 PM,
CEN20WA061,ACC,100825,2019-12-29 12:36:00+00:00,Wijnendaele,,Belgium,,OO-RFF,False,,,,0,0,0,,,0.0,0.0,Robinson,R44,HELI,,,FALSE,1,,,UNK,Substantial,,,,False,,,
ERA20LA062,ACC,100753,2019-12-28 18:35:00+00:00,Fletcher,North Carolina,United States,,N27GB,False,DirectorBrief,2022-04-06T04:00:00Z,,0,0,0,"A failure of two of the oil pump drive gear’s teeth, which resulted in a loss of engine oil lubrication, and a total loss of engine power.",,35.424999,-82.531944,Piper,PA32RT,AIR,AVL,Asheville Regional Airport,FALSE,1,,PERS,091,Destroyed,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100753,3/22/2022 7:00:00 PM,
ERA20LA082,ACC,100840,2019-12-28 17:15:00+00:00,Farmingdale,New York,United States,,N52840,False,DirectorBrief,2022-04-06T04:00:00Z,Minor,0,0,1,"The pilot’s improper preflight inspection, which resulted in fuel exhaustion and a total loss of engine power.",,40.713054,-73.411941,Mooney,M20J,AIR,FRG,Republic,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100840,3/22/2022 7:00:00 PM,
WPR20CA053,ACC,100746,2019-12-28 14:45:00+00:00,Missoula,Montana,United States,,N4476B,False,DirectorBrief,2020-06-16T04:00:00Z,,0,0,0,"The pilot receiving instruction's failure to maintain directional control during the takeoff roll, which resulted in a runway excursion and ground-loop, and the flight instructor’s failure to adequately monitor the pilot.",,46.915832,-114.089447,Cessna,170,AIR,MSO,Missoula Intl,FALSE,1,,INST,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100746,3/17/2020 5:17:00 PM,
ERA20WA067,ACC,100771,2019-12-28 12:10:00+00:00,Cmte Nicanor Otamendi,,Argentina,,LV-FQD,False,,,,0,0,0,,,-38.108612,-57.738056,CESSNA,560,AIR,,,FALSE,,,PERS,NUSN,Substantial,,,,False,,,
CEN20MA044,ACC,100739,2019-12-28 10:21:00+00:00,LAFAYETTE,Louisiana,United States,,N42CV,False,BoardBrief,2022-05-26T04:00:00Z,Fatal,5,2,2,The pilot’s loss of airplane control due to spatial disorientation during the initial climb in instrument meteorological conditions.,,30.176111,-92.007499,Piper,PA 31T,AIR,LFT,Lafayette Regional Apt,FALSE,2,,EXEC,091,Destroyed,IMC,Cheyenne Partners LLC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100739,9/14/2021 6:00:00 PM,
WPR20FA051,ACC,100738,2019-12-27 12:55:00+00:00,Santa Monica,California,United States,,N52CV,False,DirectorBrief,2022-12-07T05:00:00Z,,0,0,0,"The improper design of the audio interface system, which caused an electrical short circuit that led to a ground fire.",,34.013332,-118.45222,Cirrus,SF50,AIR,SMO,Santa Monica Muni,FALSE,1,NSCH,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100738,11/17/2022 12:00:00 PM,
CEN20WA126,ACC,101088,2019-12-27 05:00:00+00:00,San Salvador,,El Salvador,,YS-162PE,False,,,,0,0,0,,,0.0,0.0,CESSNA,152,AIR,MSSS,,FALSE,,,,NUSN,Destroyed,,,,False,,,
ANC20MA010,ACC,100736,2019-12-26 17:57:00+00:00,Kekaha,Hawaii,United States,AIR2205,N985SA,True,Report,2022-06-01T04:00:00Z,Fatal,7,0,0,"The pilot’s decision to continue flight under visual flight rules (VFR) into instrument meteorological conditions (IMC), which resulted in the collision into terrain. Contributing to the accident was Safari Aviation Inc.’s lack of safety management processes to identify hazards and mitigate the risks associated with factors that influence pilots to continue VFR flight into IMC. Also contributing to the accident was the Federal Aviation Administration’s delayed implementation of a Hawaii aviation weather camera program, its lack of leadership in the development of a cue-based weather training program for Hawaii air tour pilots, and its ineffective monitoring and oversight of Hawaii air tour operators’ weather-related operating practices.",,22.161666,-159.62638,AIRBUS,AS350B2,HELI,,,FALSE,1,NSCH,,135,Destroyed,IMC,Safari Aviation Inc.,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100736,12/15/2021 12:00:00 PM,
ERA20CA078,ACC,100822,2019-12-26 11:35:00+00:00,Ormond Beach,Florida,United States,,N882TC,False,DirectorBrief,2020-06-16T04:00:00Z,,0,0,0,"The student pilot’s improper landing flare, which resulted in a hard landing.",,29.301111,-81.113891,Cessna,172,AIR,OMN,Ormond Beach Municipal Airport,FALSE,1,,INST,091,Substantial,VMC,Phoenix East Aviation LLC,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100822,4/7/2020 11:47:00 AM,
ERA20FA056,ACC,100726,2019-12-25 18:13:00+00:00,Headland,Alabama,United States,,N663SF,False,DirectorBrief,2022-04-18T04:00:00Z,Fatal,1,0,0,"Pilot incapacitation by a sudden cardiac event related to severe coronary artery disease, which resulted in a loss of helicopter control.",,31.364166,-85.3125,Bell,407,HELI,0J6,Headland Municipal,FALSE,1,NSCH,,135,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100726,4/6/2022 4:00:00 AM,
ERA20CA110,ACC,100988,2019-12-24 17:30:00+00:00,Cortland,New York,United States,,N7450R,False,DirectorBrief,2020-06-16T04:00:00Z,Minor,0,0,1,"The student pilot's failure to maintain the runway heading during takeoff, which resulted in impact with a snowbank and a subsequent nose-over.",,42.592777,-76.214996,Piper,PA28,AIR,N03,Cortland County-Chase Field,FALSE,1,,INST,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100988,4/3/2020 11:58:00 AM,
ERA20LA070,ACC,100781,2019-12-24 17:00:00+00:00,Concord,North Carolina,United States,,N30259,False,DirectorBrief,2022-06-21T04:00:00Z,Minor,0,0,1,A malfunction of the left main landing gear brake during landing for undetermined reasons. Contributing was the pilot’s failure to attain a proper touchdown point and maintain an appropriate approach speed while landing on the wet turf runway.,,35.400001,-80.623611,Cessna,210,AIR,NC35,SPENCER,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100781,6/14/2022 4:00:00 AM,
CEN20WA045,ACC,100741,2019-12-24 16:29:00+00:00,San Rafael,,Mexico,,XA-TWN,False,,,,0,0,0,,,0.0,0.0,CESSNA,208,AIR,,,FALSE,,,,NUSC,Destroyed,,,,False,,,
ERA20LA080,ACC,100831,2019-12-24 15:15:00+00:00,Suffolk,Virginia,United States,,N230BW,False,DirectorBrief,2022-05-06T04:00:00Z,,0,0,0,A structural failure of the horizontal stabilizer during aerobatic maneuvers near the airplane’s never-exceed speed. Contributing to the failure was the construction of the horizontal stabilizer that did not meet the kit manufacturer’s specifications.,,36.639749,-76.52337,TEAM ROCKET F-1,F-1,AIR,,,TRUE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100831,4/26/2022 7:00:00 PM,
GAA20WA101,ACC,100766,2019-12-24 10:30:00+00:00,"Rio Branco, Cerro Largo",,Uruguay,,CX-BRE-R,False,,,Fatal,1,0,0,,,0.0,0.0,PIPER,PA25,AIR,,,FALSE,,,,NUSC,Substantial,,Daniel Cardozo,,False,,,
DCA20WA044,INC,100725,2019-12-24 05:00:00+00:00,Manchester,,United Kingdom,,G-TAWG,False,,,,0,0,0,,,0.0,0.0,BOEING,737,AIR,,,FALSE,,SCHD,,NUSC,Minor,,,,False,,,
CEN20CA059,ACC,100815,2019-12-23 16:04:00+00:00,Xenia,Ohio,United States,,N227L,False,DirectorBrief,2020-06-16T04:00:00Z,,0,0,0,"The pilot’s failure to maintain airplane control during landing, which resulted in the right tire contacting the runway first followed by the left wing.",,39.690834,-83.992774,ZENITH,CH 750,AIR,I19,Greene County-Lewis A Jackson,TRUE,1,,FLTS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100815,4/7/2020 4:28:00 PM,
ERA20CA111,ACC,100991,2019-12-23 15:00:00+00:00,Hanson,Massachusetts,United States,,N5792U,False,DirectorBrief,2021-02-02T05:00:00Z,,0,0,0,"The flight instructor's delayed remedial action, which resulted in his decision to perform an off field landing and the airplane's subsequent impact with terrain.",,42.02861,-70.839721,Piper,PA28,AIR,28M,CRANLAND,FALSE,1,,INST,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100991,10/9/2020 3:03:48 PM,
CEN20CA040,ACC,100721,2019-12-23 14:30:00+00:00,Pineville,Louisiana,United States,,N739SB,False,DirectorBrief,2020-06-16T04:00:00Z,Minor,0,0,1,"The pilot's failure to attain an adequate climb rate during an aborted landing with a left quartering, gusting headwind, which resulted in impact with a tree.",,31.342222,-92.443611,Cessna,172,AIR,2L0,PINEVILLE MUNI,FALSE,1,,PERS,091,Substantial,VMC,Flightline Leasing Inc,Completed,False,,,
WPR20CA052,ACC,100745,2019-12-23 10:30:00+00:00,Chandler,Arizona,United States,,N924PA,False,DirectorBrief,2020-06-16T04:00:00Z,,0,0,0,"The student pilot's loss of directional control during the landing roll, which resulted in a collision with a taxiway sign.",,33.269165,-111.811111,Piper,PA28,AIR,CHD,Chandler Municipal Airport,FALSE,1,,INST,091,Substantial,VMC,AeroGuard Flight Training Center,Completed,False,https://data.ntsb.gov/Docket?ProjectID=100745,4/17/2020 4:22:00 PM,
ENG20WA011,INC,100729,2019-12-23 06:50:00+00:00,Guwahati,,India,,VT-WGL,False,,,,0,0,0,,,0.0,0.0,AIRBUS,A320,AIR,,,FALSE,2,SCHD,,NUSC,,,GoAir,,False,,,
ENG20WA019,INC,101040,2019-12-23 05:00:00+00:00,New Chitose Airport (RJCC),,Japan,,B-3203,False,,,,0,0,0,,,0.0,0.0,EMBRAER,ERJ190,AIR,,,FALSE,,,,129,,,,,False,,,
